degree,lambda,n_features,rmse_train,rmse_val,val_sd,gap
1,0.0,8,6075.916743594763,6123.651283667275,211.6466150650134,47.73454007251166
2,0.0,44,4748.615226606262,4931.5903416532,143.40420510376703,182.9751150469383
3,0.0,164,4514.105855446694,5169.476021256184,173.4839634242654,655.3701658094906
1,1.0,8,6075.917969452443,6123.554399693483,211.6397373279622,47.636430241040216
1,10.0,8,6076.0381517946125,6122.785543108366,211.57221865546884,46.747391313753724
1,100.0,8,6084.4476054826155,6121.4116077321,210.01996889860627,36.96400224948411
1,1000.0,8,6352.07647982619,6377.575195200583,307.39024880285615,25.498715374393214
2,1.0,44,4748.638299772712,4930.835766773461,142.4586923671571,182.19746700074847
2,10.0,44,4750.6369797569605,4924.442201178271,137.4621930088636,173.8052214213103
2,100.0,44,4797.063084211101,4905.323730610888,139.61578409370142,108.26064639978631
2,1000.0,44,5271.723604948359,5296.589905477402,156.82988565462236,24.866300529042746
3,1.0,164,4514.267972469989,5159.43548670712,168.99263402505233,645.1675142371305
3,10.0,164,4525.67004092368,5090.968719155631,151.83919021923228,565.2986782319513
3,100.0,164,4702.382069987706,4918.7091918013475,123.51272013755295,216.3271218136415
3,1000.0,164,5270.5900407924855,5296.937245598143,156.9981153387077,26.347204805657384
